index,id,date,involved_dead,involved_injured,danger_rating_level,location_name,location_longitude,location_latitude
0,372,2015-01-01 09:40:00+00:00,0.0,1.0,3.0,Zamangspitze/St. Gallenkirch,9.97435,47.05281
1,403,2015-01-01 10:00:00+00:00,0.0,0.0,3.0,Wankspitze,10.93986,47.33882
2,401,2015-01-01 10:04:00+00:00,0.0,0.0,3.0,Samerschlag / Pforzheimer Hütte,11.05908,47.14916
3,400,2015-01-01 10:34:00+00:00,0.0,0.0,3.0,Seblasspitze,11.24945,47.1025
4,416,2015-01-01 10:59:00+00:00,0.0,0.0,3.0,Axamer Lizum / Hoadl,11.28181,47.18504
5,399,2015-01-01 11:19:00+00:00,0.0,1.0,3.0,Geier,11.63998,47.14939
6,398,2015-01-01 11:45:00+00:00,0.0,1.0,3.0,Kreuzjoch - Gerlosberg,11.97953,47.24993
7,404,2015-01-01 14:00:00+00:00,0.0,0.0,3.0,Festkogel,11.05166,46.8407
8,396,2015-01-01 14:00:00+00:00,0.0,0.0,3.0,Giggijoch,10.95127,46.96889
9,423,2015-01-01 14:00:00+00:00,0.0,0.0,3.0,Pürglers Kunke,12.29281,46.80335
10,8790,2015-01-01 23:00:00+00:00,0.0,0.0,3.0,Deferegger Pfannhorn,12.535044,46.895044
11,8796,2015-01-01 23:00:00+00:00,0.0,0.0,3.0,Karlesjoch,10.98538,46.930379999999
12,8792,2015-01-01 23:00:00+00:00,0.0,0.0,3.0,Goldried Kessel,12.430101,47.025101
13,8794,2015-01-01 23:00:00+00:00,0.0,0.0,2.0,Hohe Mut,10.985379,46.930378999999
14,8797,2015-01-01 23:00:00+00:00,0.0,2.0,3.0,Kelmerkar,10.53524,47.270239999999
15,8798,2015-01-01 23:00:00+00:00,0.0,0.0,3.0,Kleines Königstal,10.985381,46.930380999999
16,8793,2015-01-01 23:00:00+00:00,0.0,0.0,3.0,Hochtennspitze,11.00535,47.115349999999
17,8800,2015-01-01 23:00:00+00:00,0.0,0.0,2.0,Reutte Ruine Ehrenberg,10.535241,47.270240999999
18,388,2015-01-02 09:21:00+00:00,0.0,0.0,3.0,Kleines Königstal,11.0668,46.87979
19,386,2015-01-02 10:25:00+00:00,0.0,0.0,2.0,Hohe Mut,11.0202,46.84804
